# 16386 blocks, 12^3, Spark3GLM_WENO5, M1 RK3
# Ranks Evol      Hydro   GCell   RadTrans  GCell   Gravity Barrier
1024    588.309   24.387  9.483   488.771   73.737  48.624  41.667
2048    328.296   12.915  5.440   251.083   41.664  49.250  45.573
4096    194.962   9.391   5.720   122.178   25.591  49.293  47.423
8192    131.516   4.717   2.791   74.043    20.315  39.690  38.516
