  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.100000000000000755E+00  1.654556291299309587E-11  1.820011920406790961E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.749999999466176927E-11  2.749999999849436771E-01  0.000000000000000000E+00
  2.734961230989267911E-01  1.100000000000000089E+00  1.654556291321330040E-11  1.820011920428607849E-11  0.000000000000000000E+00  2.750000000124437349E-01  2.471959164375558915E-11  2.749999999877240087E-01  0.000000000000000000E+00
  5.530017026971039140E-01  1.099999999999999423E+00  1.654556291328950118E-11  1.820011920482651824E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.204172139704103996E-11  2.749999999904015890E-01  0.000000000000000000E+00
  8.325074789087965055E-01  1.100000000000001421E+00  1.654556291257424521E-11  1.820011920504137194E-11  0.000000000000000000E+00  2.750000000124432353E-01  1.917885999409084761E-11  2.749999999932646877E-01  0.000000000000000000E+00
  1.112013424134073558E+00  1.100000000000000755E+00  1.654556291231057170E-11  1.820011920527314407E-11  0.000000000000000000E+00  2.750000000124435684E-01  1.675461863277245073E-11  2.749999999956889152E-01  0.000000000000000000E+00
  1.391519513023216303E+00  1.100000000000000533E+00  1.654556291177116916E-11  1.820011920563575937E-11  0.000000000000000000E+00  2.750000000124435129E-01  1.518288190803272741E-11  2.749999999972605469E-01  0.000000000000000000E+00
  1.671025731461142527E+00  1.100000000000000533E+00  1.654556291170874933E-11  1.820011920648638862E-11  0.000000000000000000E+00  2.750000000124432353E-01  1.337346577449803339E-11  2.749999999990699329E-01  0.000000000000000000E+00
  1.950532088180289447E+00  1.100000000000000311E+00  1.654556291265624918E-11  1.820011920629414021E-11  0.000000000000000000E+00  2.750000000124435684E-01  1.143826950393375515E-11  2.750000000010053292E-01  0.000000000000000000E+00
  2.230038581609708359E+00  1.099999999999999867E+00  1.654556291350811597E-11  1.820011920688553881E-11  0.000000000000000000E+00  2.750000000124434574E-01  1.042783367631928735E-11  2.750000000020156876E-01  0.000000000000000000E+00
  2.509545202439306788E+00  1.099999999999999423E+00  1.654556291355548498E-11  1.820011920650571750E-11  0.000000000000000000E+00  2.750000000124434019E-01  9.460724007730863919E-12  2.750000000029825808E-01  0.000000000000000000E+00
