# 4 blocks/rank, 12^3, Spark3GLM_WENO5, M1 RK3, 10 steps
# Nodes blks    Evol      Hydro   GCell   RadTrans  GCell   Gravity Barrier
512     9890    207.018   9.553   5.860   123.044   26.408  59.669  57.757
1024    16386   196.169   9.397   5.750   122.496   25.763  50.151  48.259
2048    40298   205.942   11.368  6.868   148.312   29.865  31.646  29.684
4096    61354   172.477   7.892   5.121   96.401    23.735  53.809  52.302
8192    146362  211.152   10.153  6.502   127.218   30.709  58.646  56.749
16384   323994  237.013   12.034  7.526   152.017   33.273  57.450  55.192
