# 4 blocks/rank, 12^3, Spark3GLM_WENO5, M1 RK3, 10 steps on Theta
# no IO, no openmp, 64 mpi ranks per node
# Nodes leaf blks    Evol     Hydro  GCell   RadTrans   GCell   Gravity Barrier Hole_radius(km)
8       5466        429.204  13.083  17.427  253.506    56.835  68.261  66.745  84.085
16      5858        261.754   6.803  11.896  133.035    38.433  56.933  56.140  112.24
32      8882        216.220   5.649   8.733  106.838    35.985  45.414  44.737  149.823
64      16386       210.426   6.333   8.894  104.816    36.038  40.591  39.866  199.99
128     36053       189.968   6.356   8.790  104.198    36.401  20.855  20.171  266.954
256     69418       220.239   6.323   9.064  105.969    38.297  45.992  45.285  356.34
512     149386      228.802   5.506   9.353  107.870    38.994  51.706  50.947  475.66
1024    334578      260.286   6.64   11.283  133.007    41.135  52.097  51.091  634.93
2048    761186      271.737   6.78   12.561  134.303    42.737  58.732  57.527  847.53
