# thrds  Hydro    GCell   RadTrans  GCell
1        4.447    1.559   268.073   3.495
2        3.334    1.578   136.108   3.539
4        2.768    1.578   70.097    3.540
8        2.499    1.578   37.036    3.533
16       2.344    1.578   20.570    3.548
32       2.289    1.578   13.200    3.537
64       2.291    1.578   9.911     3.539
