# thrds  Hydro    GCell   RadTrans  GCell
1        27.683   8.004   684.083   18.136
2        20.609   8.002   387.197   18.164
4        17.949   8.074   251.414   18.219
8        14.702   8.074   138.360   18.232
16       13.061   8.066   80.431    18.212
32       12.259   8.068   51.514    18.218
64       11.849   8.066   37.182    18.225
