  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.099999999999998757E+00  1.654556291151183188E-11  1.820011919747376794E-11  0.000000000000000000E+00  2.750000000124431798E-01  2.749999999491426615E-11  2.749999999849436216E-01  0.000000000000000000E+00
  6.851374314993935455E-02  1.099999999999999867E+00  1.654556291404560888E-11  1.820011920628661481E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.772266880512502202E-11  2.749999999847209109E-01  0.000000000000000000E+00
  1.383900106821339404E-01  1.100000000000000089E+00  1.654556291452206491E-11  1.820011920575721921E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.753903681585236949E-11  2.749999999849045418E-01  0.000000000000000000E+00
  2.082662671810279753E-01  1.099999999999999201E+00  1.654556291277505946E-11  1.820011920575721921E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.760596744731990805E-11  2.749999999848373733E-01  0.000000000000000000E+00
  2.781425403498471449E-01  1.099999999999999645E+00  1.654556291605731213E-11  1.820011920660425216E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.763323734143635299E-11  2.749999999848102838E-01  0.000000000000000000E+00
  3.480188331102092580E-01  1.100000000000000089E+00  1.654556291552791654E-11  1.820011920453960935E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.747994726632446945E-11  2.749999999849636056E-01  0.000000000000000000E+00
  4.178951219692235708E-01  1.099999999999999645E+00  1.654556291531615830E-11  1.820011920491018627E-11  0.000000000000000000E+00  2.750000000124435129E-01  2.768672554509784189E-11  2.749999999847567711E-01  0.000000000000000000E+00
  4.877713874187777909E-01  1.099999999999999867E+00  1.654556291409854844E-11  1.820011920457931402E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.743439905933827515E-11  2.749999999850090138E-01  0.000000000000000000E+00
  5.576476483920758120E-01  1.099999999999998535E+00  1.654556291393972976E-11  1.820011920586309833E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.763651940448581169E-11  2.749999999848068422E-01  0.000000000000000000E+00
  6.275239295405252715E-01  1.099999999999999645E+00  1.654556291595143301E-11  1.820011920628661481E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.749082377131255317E-11  2.749999999849524479E-01  0.000000000000000000E+00
  6.974002261924044932E-01  1.099999999999999867E+00  1.654556291457500447E-11  1.820011920379845552E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.750783772780394068E-11  2.749999999849356835E-01  0.000000000000000000E+00
  7.672765115095344646E-01  1.100000000000000089E+00  1.654556291510440007E-11  1.820011920565134010E-11  0.000000000000000000E+00  2.750000000124435684E-01  2.758400190734028755E-11  2.749999999848595222E-01  0.000000000000000000E+00
  8.371527745170850299E-01  1.100000000000000533E+00  1.654556291110746335E-11  1.820011920477783737E-11  0.000000000000000000E+00  2.750000000124432353E-01  2.739129859034664253E-11  2.749999999850519794E-01  0.000000000000000000E+00
  9.070290408361022516E-01  1.100000000000000089E+00  1.654556291489264183E-11  1.820011920713364775E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.761681299720987077E-11  2.749999999848266041E-01  0.000000000000000000E+00
  9.769053289112250571E-01  1.100000000000000089E+00  1.654556291507793029E-11  1.820011920363963685E-11  0.000000000000000000E+00  2.750000000124432353E-01  2.736850901621541572E-11  2.749999999850747945E-01  0.000000000000000000E+00
  1.046781627117999269E+00  1.099999999999999867E+00  1.654556291235154299E-11  1.820011920925123012E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.754331127436819115E-11  2.749999999848999899E-01  0.000000000000000000E+00
  1.116657907456121368E+00  1.099999999999999645E+00  1.654556291404560888E-11  1.820011920554546098E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.744071995575443521E-11  2.749999999850029075E-01  0.000000000000000000E+00
  1.186534169534266381E+00  1.099999999999999423E+00  1.654556291335739461E-11  1.820011920660425216E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.740636921491671926E-11  2.749999999850369914E-01  0.000000000000000000E+00
  1.256410442216163048E+00  1.099999999999999423E+00  1.654556291626907037E-11  1.820011920332199949E-11  0.000000000000000000E+00  2.750000000124431243E-01  2.752860577279754897E-11  2.749999999849148669E-01  0.000000000000000000E+00
  1.326286736134420829E+00  1.100000000000000311E+00  1.654556291386693787E-11  1.820011920575721921E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.730368717593682601E-11  2.749999999851396870E-01  0.000000000000000000E+00
  1.396163033544231880E+00  1.099999999999999645E+00  1.654556291245742211E-11  1.820011920491018627E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.753919687940708768E-11  2.749999999849043197E-01  0.000000000000000000E+00
  1.466039308513326977E+00  1.100000000000000311E+00  1.654556291568673522E-11  1.820011920411609288E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.730420187098407871E-11  2.749999999851394095E-01  0.000000000000000000E+00
  1.535915571699927540E+00  1.100000000000001199E+00  1.654556291563379566E-11  1.820011920607485657E-11  0.000000000000000000E+00  2.750000000124435129E-01  2.744351288000765177E-11  2.749999999849998544E-01  0.000000000000000000E+00
