# thrds  Hydro    GCell   RadTrans  GCell
1        7.512    2.323   237.013   5.422
2        5.872    2.354   133.865   5.444
4        5.182    2.353   86.937    5.442
8        4.271    2.354   46.752    5.440
16       3.875    2.358   26.742    5.444
32       3.665    2.354   16.628    5.442
64       3.573    2.350   11.624    5.440
