  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000001332E+00  6.689689886898865351E-13  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250104937E-01  2.500034275744543336E-11  2.500000000000109357E-01  0.000000000000000000E+00
  1.537729310428488094E-01  9.999999999999956701E-01  6.689689886848048067E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250123255E-01  1.269783643202643997E-11  2.500000000102863273E-01  5.000000000020314861E-01
  3.107906267254704202E-01  9.999999999999992228E-01  6.689689879976420823E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250170995E-01  1.480507014537964428E-13  2.500000000207674988E-01  5.000000000040981663E-01
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000001332E+00  6.689689886898865351E-13  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250104937E-01  2.500034275744543336E-11  2.500000000000109357E-01  0.000000000000000000E+00
  1.537729310428488094E-01  9.999999999999956701E-01  6.689689886848048067E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250123255E-01  1.269783643202643997E-11  2.500000000102863273E-01  5.000000000020314861E-01
  3.107906267254704202E-01  9.999999999999992228E-01  6.689689879976420823E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250170995E-01  1.480507014537964428E-13  2.500000000207674988E-01  5.000000000040981663E-01
  4.678083346238341989E-01  9.999999999999992228E-01  6.689689900544644398E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250177656E-01  9.137548184266218719E-12  2.500000000133006384E-01  5.000000000025781599E-01
  6.248259677801036860E-01  9.999999999999958922E-01  6.689689924776352153E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250164334E-01  2.357015789988278250E-11  2.500000000012962964E-01  5.000000000001479927E-01
  7.818435689262830390E-01  9.999999999999955591E-01  6.689689934927360765E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250184318E-01  1.800394979841502958E-11  2.500000000059598992E-01  5.000000000010523804E-01
  9.388612500674087258E-01  9.999999999999978906E-01  6.689689910951597353E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250174326E-01  2.284650517692801846E-12  2.500000000190827354E-01  5.000000000036478598E-01
  1.095878976302862240E+00  9.999999999999942268E-01  6.689689933309382562E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250164334E-01  3.918412930352104268E-12  2.500000000177459714E-01  5.000000000033519854E-01
  1.252896649790791406E+00  9.999999999999961142E-01  6.689689910925351130E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250189869E-01  1.973268094356772484E-11  2.500000000045892179E-01  5.000000000006956657E-01
  1.409914257905641177E+00  9.999999999999944489E-01  6.689689907482853017E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250156562E-01  2.177225070395717050E-11  2.500000000029101166E-01  5.000000000003335110E-01
  1.566931920067777373E+00  9.999999999999936717E-01  6.689689904061635215E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250139909E-01  6.504118232955505005E-12  2.500000000156569757E-01  5.000000000028572700E-01
  1.723949652439537461E+00  9.999999999999936717E-01  6.689689958253448123E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250145460E-01  7.275852244275601208E-13  2.500000000204932737E-01  5.000000000037942982E-01
  1.880967362719883518E+00  9.999999999999926725E-01  6.689689979809885957E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250178767E-01  1.433027418125852573E-11  2.500000000091809338E-01  5.000000000015062396E-01
  2.037984994316345499E+00  9.999999999999896749E-01  6.689689976452890773E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250176546E-01  2.317217073120781704E-11  2.500000000018333668E-01  5.000000000000101030E-01
  2.195002638961681463E+00  9.999999999999871214E-01  6.689690000394088698E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250169885E-01  1.171647352347893609E-11  2.500000000114023790E-01  5.000000000018981483E-01
  2.352020366455952693E+00  9.999999999999907851E-01  6.689690016325463098E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250139909E-01  1.260185199172654962E-13  2.500000000210828577E-01  5.000000000038056225E-01
  2.509038105232131777E+00  9.999999999999895639E-01  6.689689979733969518E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250183207E-01  8.574336116512613744E-12  2.500000000140651935E-01  5.000000000023777647E-01
  2.666055771733530033E+00  9.999999999999845679E-01  6.689689938493016095E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250175436E-01  2.193782430261499093E-11  2.500000000029510283E-01  5.000000000001257883E-01
  2.823073407983376359E+00  9.999999999999845679E-01  6.689689935022481487E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250141019E-01  1.666020892563482632E-11  2.500000000073693829E-01  5.000000000009833245E-01
  2.980091121571622814E+00  9.999999999999856781E-01  6.689689950559973723E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250151011E-01  2.075389829717241806E-12  2.500000000195443661E-01  5.000000000033940628E-01
  3.137108878188618277E+00  9.999999999999853451E-01  6.689689936740834099E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250166554E-01  3.702881463379423557E-12  2.500000000182089344E-01  5.000000000031035174E-01
  3.294126583574704448E+00  9.999999999999890088E-01  6.689689948784657528E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250174326E-01  1.840226503839788362E-11  2.500000000059807159E-01  5.000000000006316059E-01
  3.451144226294171169E+00  9.999999999999803491E-01  6.689689965947810085E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250139909E-01  2.019039638149709053E-11  2.500000000045126680E-01  5.000000000003130829E-01
  3.608161921620971935E+00  9.999999999999835687E-01  6.689689880040116356E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250177656E-01  5.972973430298005088E-12  2.500000000163801195E-01  5.000000000026616487E-01
