  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000002887E+00  2.236695972976478458E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.500037701205071495E-11  2.500000000000033307E-01  0.000000000000000000E+00
  1.537311643876792394E-02  1.000000000000002665E+00  2.236695973225762260E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.461024337198953299E-11  2.500000000003934630E-01  0.000000000000000000E+00
  4.332359902855165146E-02  1.000000000000002887E+00  2.236695973137435204E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037768E-01  2.391645563926473447E-11  2.500000000010874079E-01  0.000000000000000000E+00
  7.127410087536867334E-02  1.000000000000003109E+00  2.236695973053774286E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.324222623877797936E-11  2.500000000017614799E-01  0.000000000000000000E+00
  9.922459379433568039E-02  1.000000000000003331E+00  2.236695972947097067E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.258700449002556775E-11  2.500000000024166780E-01  0.000000000000000000E+00
  1.271751054522520241E-01  1.000000000000003331E+00  2.236695972656265211E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.195025376118357421E-11  2.500000000030533909E-01  0.000000000000000000E+00
  1.551256084400612634E-01  1.000000000000003331E+00  2.236695972613039854E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.133145383569301925E-11  2.500000000036721737E-01  0.000000000000000000E+00
  1.830761296013539430E-01  1.000000000000003331E+00  2.236695972572151282E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.073009795867655505E-11  2.500000000042734150E-01  0.000000000000000000E+00
  2.110266424034298316E-01  1.000000000000003109E+00  2.236695972619720953E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.014569496983905860E-11  2.500000000048577253E-01  0.000000000000000000E+00
  2.389771727686434422E-01  1.000000000000003553E+00  2.236695972543099471E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.957776649739141333E-11  2.500000000054257154E-01  0.000000000000000000E+00
  2.669276951346351567E-01  1.000000000000003109E+00  2.236695972639869263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.902584878136367156E-11  2.500000000059776628E-01  0.000000000000000000E+00
  2.948782344185915116E-01  1.000000000000003331E+00  2.236695972504599707E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  1.848949004387735152E-11  2.500000000065140671E-01  0.000000000000000000E+00
  3.228287661036454148E-01  1.000000000000003109E+00  2.236695972519925166E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.796825214547426013E-11  2.500000000070352613E-01  0.000000000000000000E+00
  3.507793140311379343E-01  1.000000000000003331E+00  2.236695972693053099E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.746170826747445148E-11  2.500000000075418005E-01  0.000000000000000000E+00
  3.787298547969359941E-01  1.000000000000003109E+00  2.236695972622112022E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.696944449259417101E-11  2.500000000080340179E-01  0.000000000000000000E+00
  4.066804111024183710E-01  1.000000000000003109E+00  2.236695972580347156E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  1.649105775862390166E-11  2.500000000085123575E-01  0.000000000000000000E+00
  4.346309607158269639E-01  1.000000000000003109E+00  2.236695972738633982E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  1.602615725363992919E-11  2.500000000089772079E-01  0.000000000000000000E+00
  4.625815251412046525E-01  1.000000000000002665E+00  2.236695972657530215E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.557436249702953517E-11  2.500000000094290686E-01  0.000000000000000000E+00
  4.905320833737496500E-01  1.000000000000002665E+00  2.236695972754267049E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  1.513530448370156856E-11  2.500000000098680508E-01  0.000000000000000000E+00
  5.184826556648698404E-01  1.000000000000002442E+00  2.236695972763526625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.470862390024383149E-11  2.500000000102948206E-01  0.000000000000000000E+00
  5.464332222930240457E-01  1.000000000000002887E+00  2.236695972683600945E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.429397213054554923E-11  2.500000000107095444E-01  0.000000000000000000E+00
  5.743838022098842755E-01  1.000000000000002887E+00  2.236695972708634791E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.389100971465397754E-11  2.500000000111124998E-01  0.000000000000000000E+00
  6.023343770158949839E-01  1.000000000000003109E+00  2.236695972717844930E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  1.349940729796067888E-11  2.500000000115041310E-01  0.000000000000000000E+00
  6.302849643269526903E-01  1.000000000000003109E+00  2.236695972694140389E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.311884430744577816E-11  2.500000000118846044E-01  0.000000000000000000E+00
  6.582355470980099099E-01  1.000000000000003331E+00  2.236695972771124085E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.274900976559866329E-11  2.500000000122544752E-01  0.000000000000000000E+00
  6.861861415792169794E-01  1.000000000000003109E+00  2.236695972672850505E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  1.238960106288693054E-11  2.500000000126137434E-01  0.000000000000000000E+00
  7.141367321066823814E-01  1.000000000000003331E+00  2.236695972526413041E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  1.204032457778644872E-11  2.500000000129629640E-01  0.000000000000000000E+00
  7.420873335409243765E-01  1.000000000000003331E+00  2.236695972385950018E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  1.170089456032423675E-11  2.500000000133024147E-01  0.000000000000000000E+00
  7.700379316208548763E-01  1.000000000000002887E+00  2.236695972383607417E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  1.137103363614189984E-11  2.500000000136322620E-01  0.000000000000000000E+00
