  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033997694417581E-11  2.500000000000032752E-01
  2.131266951449274551E-03  1.000000000000002665E+00  2.236677736705756144E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.499786853815761056E-11  2.500000000000057176E-01
  5.625076370740374719E-03  1.000000000000002665E+00  2.236677736748107792E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.499381463880720180E-11  2.500000000000097700E-01
  9.118885853583048179E-03  1.000000000000002665E+00  2.236677736726931968E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498974915858482425E-11  2.500000000000138223E-01
  1.261269537790781631E-02  1.000000000000002442E+00  2.236677736748107792E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498567593836751324E-11  2.500000000000178746E-01
  1.610650494799730978E-02  1.000000000000002665E+00  2.236677736896338557E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498159621513731264E-11  2.500000000000219824E-01
  1.960031455824937097E-02  1.000000000000002665E+00  2.236677736790459439E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.497750669244127766E-11  2.500000000000260902E-01
  2.309412420553542261E-02  1.000000000000002887E+00  2.236677736790459439E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.497341426876016260E-11  2.500000000000301981E-01
  2.658793389231288440E-02  1.000000000000003109E+00  2.236677736801047351E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.496931033422655728E-11  2.500000000000343059E-01
  3.008174361051539972E-02  1.000000000000003553E+00  2.236677736716344056E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.496520620055980481E-11  2.500000000000384137E-01
  3.357555336748110908E-02  1.000000000000003331E+00  2.236677736822223174E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.496108913050834890E-11  2.500000000000425215E-01
  3.706936315207700477E-02  1.000000000000003553E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.495697403185789024E-11  2.500000000000466294E-01
  4.056317297458393589E-02  1.000000000000003553E+00  2.236677736864574822E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.495284512333928170E-11  2.500000000000508482E-01
  4.405698282202599042E-02  1.000000000000003775E+00  2.236677736726931968E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.494871924382259006E-11  2.500000000000549005E-01
  4.755079270650732631E-02  1.000000000000003553E+00  2.236677736695168232E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.494457502421901577E-11  2.500000000000590639E-01
  5.104460261390632997E-02  1.000000000000003553E+00  2.236677736822223174E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.494043754467156957E-11  2.500000000000632272E-01
  5.453841255748698852E-02  1.000000000000003775E+00  2.236677736773254082E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.493630207489964807E-11  2.500000000000673350E-01
  5.803222252242208612E-02  1.000000000000003775E+00  2.236677736757372214E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.493214954883436023E-11  2.500000000000714984E-01
  6.152603252271083428E-02  1.000000000000003775E+00  2.236677736758695703E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.492796935019083364E-11  2.500000000000756617E-01
  6.501984254310998190E-02  1.000000000000003775E+00  2.236677736801047351E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.492380483375377903E-11  2.500000000000798250E-01
  6.851365259805983210E-02  1.000000000000003553E+00  2.236677736700462188E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.491961566331679271E-11  2.500000000000839884E-01
