  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236681987811218601E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500034831448640601E-11  2.500000000000032196E-01
  7.966060475542987435E-03  1.000000000000002442E+00  2.236681987597057986E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.482552922919109465E-11  2.500000000001780798E-01
  2.194130269463425570E-02  1.000000000000002442E+00  2.236681987483018860E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.451788626478330335E-11  2.500000000004857781E-01
  3.591654866487761777E-02  1.000000000000002442E+00  2.236681987669550673E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.420028656834161543E-11  2.500000000008034129E-01
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236681987811218601E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500034831448640601E-11  2.500000000000032196E-01
  7.966060475542987435E-03  1.000000000000002442E+00  2.236681987597057986E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.482552922919109465E-11  2.500000000001780798E-01
  2.194130269463425570E-02  1.000000000000002442E+00  2.236681987483018860E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.451788626478330335E-11  2.500000000004857781E-01
  3.591654866487761777E-02  1.000000000000002442E+00  2.236681987669550673E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.420028656834161543E-11  2.500000000008034129E-01
  4.989179733828785074E-02  1.000000000000002442E+00  2.236681987768479536E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.388211127005367707E-11  2.500000000011215473E-01
  6.386704853143734817E-02  1.000000000000002665E+00  2.236681987759253887E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.355452826587771934E-11  2.500000000014490076E-01
  7.784230228190656964E-02  1.000000000000002442E+00  2.236681987665591192E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.320572944160032177E-11  2.500000000017978952E-01
  9.181755801000779371E-02  1.000000000000002665E+00  2.236681987734996492E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.285346284092149676E-11  2.500000000021501134E-01
  1.057928161558135960E-01  1.000000000000002665E+00  2.236681987785052875E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.247696387621540196E-11  2.500000000025267011E-01
  1.197680759971472969E-01  1.000000000000002665E+00  2.236681987892586354E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.211172778796736943E-11  2.500000000028919089E-01
  1.337433381182825121E-01  1.000000000000002442E+00  2.236681987887137302E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.172019325758028033E-11  2.500000000032834846E-01
  1.477186017740601820E-01  1.000000000000002442E+00  2.236681987880056830E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.135075691394925722E-11  2.500000000036529668E-01
  1.616938675861760433E-01  1.000000000000002442E+00  2.236681987819518518E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.095439134643745539E-11  2.500000000040493164E-01
  1.756691348301048505E-01  1.000000000000002665E+00  2.236681987771624438E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.058649152564318456E-11  2.500000000044171333E-01
  1.896444041194560726E-01  1.000000000000002665E+00  2.236681987704364960E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.019230289542975437E-11  2.500000000048113735E-01
  2.036196747695949438E-01  1.000000000000002887E+00  2.236681987653204809E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  1.982976382524941384E-11  2.500000000051738613E-01
  2.175949473658689015E-01  1.000000000000002887E+00  2.236681987838693276E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  1.944225504822586638E-11  2.500000000055614402E-01
  2.315702212712961450E-01  1.000000000000002665E+00  2.236681987736004296E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  1.908760022563083397E-11  2.500000000059161009E-01
  2.455454970353655730E-01  1.000000000000002887E+00  2.236681987761363198E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  1.870955305411865639E-11  2.500000000062941874E-01
  2.595207740689693399E-01  1.000000000000002887E+00  2.236681987689520946E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  1.836440472563513969E-11  2.500000000066392447E-01
  2.734960528851143047E-01  1.000000000000002887E+00  2.236681987701053976E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  1.799745249054026765E-11  2.500000000070062844E-01
  2.874713329386379690E-01  1.000000000000002887E+00  2.236681987702131896E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  1.766278981462217993E-11  2.500000000073409057E-01
  3.014466147084067793E-01  1.000000000000003331E+00  2.236681987848117319E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  1.730780844278815096E-11  2.500000000076958995E-01
